City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Luanda,AO,2021-05-20 22:58:57,-8.8368,13.2343,78.8,89,40,8.05
235,Lagoa,PT,2021-05-20 23:02:12,39.05,-27.9833,59.86,63,75,14.05
236,Pevek,RU,2021-05-20 23:02:12,69.7008,170.3133,32.54,97,100,3.13
237,Salisbury,GB,2021-05-20 22:57:26,51.0693,-1.7957,53.87,73,84,29.37
238,Mayo,US,2021-05-20 23:02:13,38.8876,-76.5119,81.63,44,93,11.99
239,San Francisco,US,2021-05-20 23:00:04,37.7749,-122.4194,73.15,59,1,5.99
240,Flinders,AU,2021-05-20 23:02:13,-34.5833,150.8552,58.8,86,25,1.01
241,Hobyo,SO,2021-05-20 23:02:13,5.3505,48.5268,78.94,81,9,29.21
242,Comodoro Rivadavia,AR,2021-05-20 23:02:14,-45.8667,-67.5,52.95,91,100,2.15
243,Juneau,US,2021-05-20 23:02:14,58.3019,-134.4197,58.84,55,97,5.01
244,Chany,RU,2021-05-20 23:02:14,55.3121,76.7647,41.92,86,100,11.54
245,Noumea,NC,2021-05-20 22:57:47,-22.2763,166.4572,75.0,99,63,10.54
246,Onega,RU,2021-05-20 23:02:15,63.9061,38.1404,62.24,63,9,8.97
247,Severo-Yeniseyskiy,RU,2021-05-20 23:02:15,60.3725,93.0408,31.95,72,52,1.05
248,Imeni Poliny Osipenko,RU,2021-05-20 23:02:15,52.4201,136.4853,48.85,67,85,3.67
249,Tarko-Sale,RU,2021-05-20 23:02:16,64.9225,77.785,37.99,90,100,14.72
250,Watsa,CD,2021-05-20 23:02:16,3.0372,29.5355,65.05,97,91,2.48
251,Khatanga,RU,2021-05-20 23:02:16,71.9667,102.5,27.0,88,100,2.28
252,Kushima,JP,2021-05-20 23:00:33,31.4583,131.2333,67.12,91,100,10.13
253,Tuatapere,NZ,2021-05-20 23:02:17,-46.1333,167.6833,48.81,75,78,6.8
254,Mulege,MX,2021-05-20 23:02:17,26.8833,-111.9833,91.22,32,47,10.04
255,Nyurba,RU,2021-05-20 23:02:17,63.2842,118.3319,41.45,48,77,4.34
256,Bonavista,CA,2021-05-20 23:02:18,48.6499,-53.1147,50.11,83,70,18.05
257,Estreito,BR,2021-05-20 22:58:05,-5.7833,-43.25,78.04,68,13,3.44
258,Touros,BR,2021-05-20 23:02:18,-5.1989,-35.4608,77.79,84,4,12.28
259,Kisangani,CD,2021-05-20 23:02:18,0.5167,25.2,75.54,75,75,2.39
260,Te Anau,NZ,2021-05-20 23:02:19,-45.4167,167.7167,48.33,82,66,1.52
261,Muravlenko,RU,2021-05-20 23:02:19,63.7898,74.523,41.36,96,100,5.37
262,Khandyga,RU,2021-05-20 22:57:24,62.6667,135.6,49.89,31,17,4.34
263,Sibolga,ID,2021-05-20 23:02:19,1.7427,98.7792,76.14,80,83,3.62
264,Quito,EC,2021-05-20 23:00:37,-0.2299,-78.5249,54.7,90,82,2.33
