City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Oranjestad,AW,82.35,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
556,Chauk,MM,83.71,scattered clouds,20.8833,94.8167,Bo Khin Guest House
559,Blue Island,US,80.49,broken clouds,41.6573,-87.6801,M Star Calumet Park
562,Muisne,EC,76.15,broken clouds,0.6,-80.0333,Quinta Samay
565,Harrison,US,79.14,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
566,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
571,Kita,ML,89.76,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
574,Khandbari,NP,72.61,few clouds,27.3747,87.2039,Sainik Hotel And Lodge
576,Contramaestre,CU,78.78,broken clouds,20.2978,-76.2414,Hotel Caribeño
577,Woodward,US,72.93,broken clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
581,Meadow Lake,US,83.17,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
583,Mankono,CI,75.42,light rain,8.0586,-6.1897,Hotel Cajoux
584,Shiloh,US,84.9,broken clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
587,Lazaro Cardenas,MX,84.78,scattered clouds,17.9583,-102.2,Hotel Quinta Antigua
588,Cartagena Del Chaira,CO,74.07,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
591,Ternate,ID,82.53,light rain,0.8,127.4,Grand Dafam Bela Ternate
592,Creel,MX,71.44,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
595,Maragogi,BR,76.68,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
597,Cayenne,GF,78.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
602,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
604,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
608,Diffa,NE,87.4,clear sky,13.3154,12.6113,ProDAF/Diffa
611,Lorengau,PG,85.59,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
613,Mora,CM,89.38,scattered clouds,11.0461,14.1401,Hotel Emergence
618,Dawei,MM,76.15,overcast clouds,14.0833,98.2,Hotel Dawei
621,American Canyon,US,82.33,clear sky,38.1749,-122.2608,DoubleTree by Hilton Hotel & Spa Napa Valley - American Canyon
623,Sayville,US,84.18,scattered clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
625,Bundaberg,AU,71.89,clear sky,-24.85,152.35,Takalvan Motel
626,Alugan,PH,83.32,scattered clouds,12.2188,125.4808,JM Lodge
633,Moranbah,AU,70.14,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
636,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
637,Daru,PG,80.51,overcast clouds,-9.0763,143.2092,Daru Lodge
641,Fort Myers Beach,US,84.25,few clouds,26.451999999999998,-81.9481,Lani Kai Island Resort
642,Najran,SA,79.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
644,Malindi,KE,78.89,scattered clouds,-3.2175,40.1191,African House Resort
645,Katiola,CI,79.43,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
647,Half Moon Bay,US,74.12,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
648,Shenxian,CN,78.08,light rain,36.2411,115.6672,Xinhe Hotel
651,Ewa Beach,US,83.57,few clouds,21.3156,-158.0072,Uncle Junior Robert
652,Mucurapo,TT,82.13,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
653,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
657,Kamloops,CA,81.82,overcast clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
658,Bahia Honda,CU,78.4,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
659,Celestun,MX,80.94,overcast clouds,20.8667,-90.4,Posada Lilia
660,Musoma,TZ,70.47,overcast clouds,-1.5,33.8,New Peninsula Hotel
661,Rudarpur,IN,84.81,clear sky,26.4394,83.6144,Indian Guest House
662,Puerto Madero,MX,86.2,scattered clouds,14.7208,-92.4215,Hotel La Central
666,Ranong,TH,81.16,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
671,Ugoofaaru,MV,83.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
672,Carinhanha,BR,79.84,broken clouds,-14.3047,-43.765,Hotel União
677,Ciudad Bolivar,VE,83.68,overcast clouds,8.1222,-63.5497,Hotel Edi
678,Weligama,LK,80.76,overcast clouds,5.9667,80.4167,Weligama Bay Resort
680,Katsuura,JP,72.23,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
686,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
688,Mackay,AU,76.68,few clouds,-21.15,149.2,International Lodge Motel
690,Aldama,MX,87.82,clear sky,22.9167,-98.0667,CASA CANYE
691,Bibiani,GH,72.72,overcast clouds,6.4635,-2.3194,Rodick Hotel
